Player,starting_11,team,game,Season
Manuel Lanzini,Y,West Ham,West Ham vs Newcastle Utd,2018
Robert Snodgrass,Y,West Ham,West Ham vs Newcastle Utd,2018
Mark Noble,Y,West Ham,West Ham vs Newcastle Utd,2018
Javier Hernández,Y,West Ham,West Ham vs Newcastle Utd,2018
Angelo Ogbonna,Y,West Ham,West Ham vs Newcastle Utd,2018
Issa Diop,Y,West Ham,West Ham vs Newcastle Utd,2018
Ryan Fredericks,Y,West Ham,West Ham vs Newcastle Utd,2018
Declan Rice,Y,West Ham,West Ham vs Newcastle Utd,2018
Martin Dúbravka,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Fabian Schär,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Jamaal Lascelles,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Salomón Rondón,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Matt Ritchie,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Isaac Hayden,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Ayoze Pérez,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Javier Manquillo,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Florian Lejeune,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Miguel Almirón,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Sean Longstaff,Y,Newcastle Utd,West Ham vs Newcastle Utd,2018
Ben Foster,Y,Watford,Watford vs Leicester City,2018
Daryl Janmaat,Y,Watford,Watford vs Leicester City,2018
Adrian Mariappa,Y,Watford,Watford vs Leicester City,2018
Gerard Deulofeu,Y,Watford,Watford vs Leicester City,2018
Troy Deeney,Y,Watford,Watford vs Leicester City,2018
Craig Cathcart,Y,Watford,Watford vs Leicester City,2018
Abdoulaye Doucouré,Y,Watford,Watford vs Leicester City,2018
Will Hughes,Y,Watford,Watford vs Leicester City,2018
José Holebas,Y,Watford,Watford vs Leicester City,2018
Étienne Capoue,Y,Watford,Watford vs Leicester City,2018
Roberto Pereyra,Y,Watford,Watford vs Leicester City,2018
Kasper Schmeichel,Y,Leicester City,Watford vs Leicester City,2018
Ben Chilwell,Y,Leicester City,Watford vs Leicester City,2018
Wes Morgan,Y,Leicester City,Watford vs Leicester City,2018
Jonny Evans,Y,Leicester City,Watford vs Leicester City,2018
Jamie Vardy,Y,Leicester City,Watford vs Leicester City,2018
James Maddison,Y,Leicester City,Watford vs Leicester City,2018
Ricardo Pereira,Y,Leicester City,Watford vs Leicester City,2018
Harry Maguire,Y,Leicester City,Watford vs Leicester City,2018
Harvey Barnes,Y,Leicester City,Watford vs Leicester City,2018
Youri Tielemans,Y,Leicester City,Watford vs Leicester City,2018
Wilfred Ndidi,Y,Leicester City,Watford vs Leicester City,2018
Sergio Rico,Y,Fulham,Fulham vs Chelsea,2018
Ryan Sessegnon,Y,Fulham,Fulham vs Chelsea,2018
Denis Odoi,Y,Fulham,Fulham vs Chelsea,2018
Calum Chambers,Y,Fulham,Fulham vs Chelsea,2018
Kevin McDonald,Y,Fulham,Fulham vs Chelsea,2018
Aleksandar Mitrović,Y,Fulham,Fulham vs Chelsea,2018
Tom Cairney,Y,Fulham,Fulham vs Chelsea,2018
Ryan Babel,Y,Fulham,Fulham vs Chelsea,2018
Tim Ream,Y,Fulham,Fulham vs Chelsea,2018
Håvard Nordtveit,Y,Fulham,Fulham vs Chelsea,2018
Joe Bryan,Y,Fulham,Fulham vs Chelsea,2018
Kepa Arrizabalaga,Y,Chelsea,Fulham vs Chelsea,2018
Antonio Rüdiger,Y,Chelsea,Fulham vs Chelsea,2018
Jorginho,Y,Chelsea,Fulham vs Chelsea,2018
N'Golo Kanté,Y,Chelsea,Fulham vs Chelsea,2018
Ross Barkley,Y,Chelsea,Fulham vs Chelsea,2018
Gonzalo Higuaín,Y,Chelsea,Fulham vs Chelsea,2018
Eden Hazard,Y,Chelsea,Fulham vs Chelsea,2018
Willian,Y,Chelsea,Fulham vs Chelsea,2018
Andreas Christensen,Y,Chelsea,Fulham vs Chelsea,2018
César Azpilicueta,Y,Chelsea,Fulham vs Chelsea,2018
Emerson Palmieri,Y,Chelsea,Fulham vs Chelsea,2018
Jordan Pickford,Y,Everton,Everton vs Liverpool,2018
Michael Keane,Y,Everton,Everton vs Liverpool,2018
Kurt Zouma,Y,Everton,Everton vs Liverpool,2018
Gylfi Sigurðsson,Y,Everton,Everton vs Liverpool,2018
Theo Walcott,Y,Everton,Everton vs Liverpool,2018
Lucas Digne,Y,Everton,Everton vs Liverpool,2018
Idrissa Gana Gueye,Y,Everton,Everton vs Liverpool,2018
Morgan Schneiderlin,Y,Everton,Everton vs Liverpool,2018
Bernard,Y,Everton,Everton vs Liverpool,2018
Séamus Coleman,Y,Everton,Everton vs Liverpool,2018
Dominic Calvert-Lewin,Y,Everton,Everton vs Liverpool,2018
Alisson,Y,Liverpool,Everton vs Liverpool,2018
Fabinho,Y,Liverpool,Everton vs Liverpool,2018
Virgil van Dijk,Y,Liverpool,Everton vs Liverpool,2018
Georginio Wijnaldum,Y,Liverpool,Everton vs Liverpool,2018
Sadio Mané,Y,Liverpool,Everton vs Liverpool,2018
Mohamed Salah,Y,Liverpool,Everton vs Liverpool,2018
Jordan Henderson,Y,Liverpool,Everton vs Liverpool,2018
Andrew Robertson,Y,Liverpool,Everton vs Liverpool,2018
Divock Origi,Y,Liverpool,Everton vs Liverpool,2018
Joël Matip,Y,Liverpool,Everton vs Liverpool,2018
Trent Alexander-Arnold,Y,Liverpool,Everton vs Liverpool,2018
Vicente Guaita,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Patrick van Aanholt,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Luka Milivojević,Y,Crystal Palace,Crystal Palace vs Brighton,2018
James Tomkins,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Scott Dann,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Andros Townsend,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Wilfried Zaha,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Jeffrey Schlupp,Y,Crystal Palace,Crystal Palace vs Brighton,2018
James McArthur,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Michy Batshuayi,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Aaron Wan-Bissaka,Y,Crystal Palace,Crystal Palace vs Brighton,2018
Mathew Ryan,Y,Brighton,Crystal Palace vs Brighton,2018
Shane Duffy,Y,Brighton,Crystal Palace vs Brighton,2018
Lewis Dunk,Y,Brighton,Crystal Palace vs Brighton,2018
Dale Stephens,Y,Brighton,Crystal Palace vs Brighton,2018
Yves Bissouma,Y,Brighton,Crystal Palace vs Brighton,2018
Anthony Knockaert,Y,Brighton,Crystal Palace vs Brighton,2018
Alireza Jahanbakhsh,Y,Brighton,Crystal Palace vs Brighton,2018
Glenn Murray,Y,Brighton,Crystal Palace vs Brighton,2018
Martín Montoya,Y,Brighton,Crystal Palace vs Brighton,2018
Davy Pröpper,Y,Brighton,Crystal Palace vs Brighton,2018
Bernardo,Y,Brighton,Crystal Palace vs Brighton,2018
Martin Dúbravka,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Ki Sung-yueng,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Fabian Schär,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Jamaal Lascelles,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Salomón Rondón,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Matt Ritchie,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Isaac Hayden,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Ayoze Pérez,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Florian Lejeune,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
DeAndre Yedlin,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Miguel Almirón,Y,Newcastle Utd,Newcastle Utd vs Everton,2018
Jordan Pickford,Y,Everton,Newcastle Utd vs Everton,2018
Michael Keane,Y,Everton,Newcastle Utd vs Everton,2018
Kurt Zouma,Y,Everton,Newcastle Utd vs Everton,2018
André Gomes,Y,Everton,Newcastle Utd vs Everton,2018
Gylfi Sigurðsson,Y,Everton,Newcastle Utd vs Everton,2018
Lucas Digne,Y,Everton,Newcastle Utd vs Everton,2018
Idrissa Gana Gueye,Y,Everton,Newcastle Utd vs Everton,2018
Bernard,Y,Everton,Newcastle Utd vs Everton,2018
Dominic Calvert-Lewin,Y,Everton,Newcastle Utd vs Everton,2018
Richarlison,Y,Everton,Newcastle Utd vs Everton,2018
Jonjoe Kenny,Y,Everton,Newcastle Utd vs Everton,2018
Neil Etheridge,Y,Cardiff City,Cardiff City vs West Ham,2018
Lee Peltier,Y,Cardiff City,Cardiff City vs West Ham,2018
Joe Bennett,Y,Cardiff City,Cardiff City vs West Ham,2018
Sean Morrison,Y,Cardiff City,Cardiff City vs West Ham,2018
Bruno Ecuele Manga,Y,Cardiff City,Cardiff City vs West Ham,2018
Harry Arter,Y,Cardiff City,Cardiff City vs West Ham,2018
Josh Murphy,Y,Cardiff City,Cardiff City vs West Ham,2018
Aron Gunnarsson,Y,Cardiff City,Cardiff City vs West Ham,2018
Víctor Camarasa,Y,Cardiff City,Cardiff City vs West Ham,2018
Oumar Niasse,Y,Cardiff City,Cardiff City vs West Ham,2018
Junior Hoilett,Y,Cardiff City,Cardiff City vs West Ham,2018
Łukasz Fabiański,Y,West Ham,Cardiff City vs West Ham,2018
Aaron Cresswell,Y,West Ham,Cardiff City vs West Ham,2018
Felipe Anderson,Y,West Ham,Cardiff City vs West Ham,2018
Manuel Lanzini,Y,West Ham,Cardiff City vs West Ham,2018
Robert Snodgrass,Y,West Ham,Cardiff City vs West Ham,2018
Mark Noble,Y,West Ham,Cardiff City vs West Ham,2018
Javier Hernández,Y,West Ham,Cardiff City vs West Ham,2018
Angelo Ogbonna,Y,West Ham,Cardiff City vs West Ham,2018
Issa Diop,Y,West Ham,Cardiff City vs West Ham,2018
Ryan Fredericks,Y,West Ham,Cardiff City vs West Ham,2018
Declan Rice,Y,West Ham,Cardiff City vs West Ham,2018
Jonas Lössl,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Juninho Bacuna,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Philip Billing,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Elias Kachunga,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Aaron Mooy,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Alex Pritchard,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Steve Mounié,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Mathias Jørgensen,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Christopher Schindler,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Jon Gorenc Stanković,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Erik Durm,Y,Huddersfield,Huddersfield vs Bournemouth,2018
Artur Boruc,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Nathan Aké,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Andrew Surman,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Jefferson Lerma,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Charlie Daniels,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Callum Wilson,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Adam Smith,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Joshua King,Y,Bournemouth,Huddersfield vs Bournemouth,2018
David Brooks,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Ryan Fraser,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Chris Mepham,Y,Bournemouth,Huddersfield vs Bournemouth,2018
Kasper Schmeichel,Y,Leicester City,Leicester City vs Fulham,2018
Ben Chilwell,Y,Leicester City,Leicester City vs Fulham,2018
Jonny Evans,Y,Leicester City,Leicester City vs Fulham,2018
Demarai Gray,Y,Leicester City,Leicester City vs Fulham,2018
Jamie Vardy,Y,Leicester City,Leicester City vs Fulham,2018
James Maddison,Y,Leicester City,Leicester City vs Fulham,2018
Ricardo Pereira,Y,Leicester City,Leicester City vs Fulham,2018
Harry Maguire,Y,Leicester City,Leicester City vs Fulham,2018
Harvey Barnes,Y,Leicester City,Leicester City vs Fulham,2018
Youri Tielemans,Y,Leicester City,Leicester City vs Fulham,2018
Wilfred Ndidi,Y,Leicester City,Leicester City vs Fulham,2018
Sergio Rico,Y,Fulham,Leicester City vs Fulham,2018
Ryan Sessegnon,Y,Fulham,Leicester City vs Fulham,2018
Denis Odoi,Y,Fulham,Leicester City vs Fulham,2018
Calum Chambers,Y,Fulham,Leicester City vs Fulham,2018
Kevin McDonald,Y,Fulham,Leicester City vs Fulham,2018
Aleksandar Mitrović,Y,Fulham,Leicester City vs Fulham,2018
Tom Cairney,Y,Fulham,Leicester City vs Fulham,2018
Ryan Babel,Y,Fulham,Leicester City vs Fulham,2018
Tim Ream,Y,Fulham,Leicester City vs Fulham,2018
Håvard Nordtveit,Y,Fulham,Leicester City vs Fulham,2018
Joe Bryan,Y,Fulham,Leicester City vs Fulham,2018
Angus Gunn,Y,Southampton,Southampton vs Tottenham,2018
Maya Yoshida,Y,Southampton,Southampton vs Tottenham,2018
Jannik Vestergaard,Y,Southampton,Southampton vs Tottenham,2018
Charlie Austin,Y,Southampton,Southampton vs Tottenham,2018
Oriol Romeu,Y,Southampton,Southampton vs Tottenham,2018
James Ward-Prowse,Y,Southampton,Southampton vs Tottenham,2018
Ryan Bertrand,Y,Southampton,Southampton vs Tottenham,2018
Nathan Redmond,Y,Southampton,Southampton vs Tottenham,2018
Pierre Højbjerg,Y,Southampton,Southampton vs Tottenham,2018
Jan Bednarek,Y,Southampton,Southampton vs Tottenham,2018
Valery,Y,Southampton,Southampton vs Tottenham,2018
Hugo Lloris,Y,Tottenham,Southampton vs Tottenham,2018
Danny Rose,Y,Tottenham,Southampton vs Tottenham,2018
Jan Vertonghen,Y,Tottenham,Southampton vs Tottenham,2018
Davinson Sánchez,Y,Tottenham,Southampton vs Tottenham,2018
Harry Kane,Y,Tottenham,Southampton vs Tottenham,2018
Eric Dier,Y,Tottenham,Southampton vs Tottenham,2018
Kyle Walker-Peters,Y,Tottenham,Southampton vs Tottenham,2018
Moussa Sissoko,Y,Tottenham,Southampton vs Tottenham,2018
Dele Alli,Y,Tottenham,Southampton vs Tottenham,2018
Christian Eriksen,Y,Tottenham,Southampton vs Tottenham,2018
Lucas Moura,Y,Tottenham,Southampton vs Tottenham,2018
Ederson,Y,Manchester City,Manchester City vs Watford,2018
Kyle Walker,Y,Manchester City,Manchester City vs Watford,2018
Vincent Kompany,Y,Manchester City,Manchester City vs Watford,2018
Raheem Sterling,Y,Manchester City,Manchester City vs Watford,2018
İlkay Gündoğan,Y,Manchester City,Manchester City vs Watford,2018
Sergio Agüero,Y,Manchester City,Manchester City vs Watford,2018
Bernardo Silva,Y,Manchester City,Manchester City vs Watford,2018
David Silva,Y,Manchester City,Manchester City vs Watford,2018
Riyad Mahrez,Y,Manchester City,Manchester City vs Watford,2018
Nicolás Otamendi,Y,Manchester City,Manchester City vs Watford,2018
Oleksandr Zinchenko,Y,Manchester City,Manchester City vs Watford,2018
Ben Foster,Y,Watford,Manchester City vs Watford,2018
Daryl Janmaat,Y,Watford,Manchester City vs Watford,2018
Miguel Britos,Y,Watford,Manchester City vs Watford,2018
Tom Cleverley,Y,Watford,Manchester City vs Watford,2018
Isaac Success,Y,Watford,Manchester City vs Watford,2018
Adam Masina,Y,Watford,Manchester City vs Watford,2018
Abdoulaye Doucouré,Y,Watford,Manchester City vs Watford,2018
Andre Gray,Y,Watford,Manchester City vs Watford,2018
Kiko Femenía,Y,Watford,Manchester City vs Watford,2018
Christian Kabasele,Y,Watford,Manchester City vs Watford,2018
Étienne Capoue,Y,Watford,Manchester City vs Watford,2018
Alisson,Y,Liverpool,Liverpool vs Burnley,2018
Fabinho,Y,Liverpool,Liverpool vs Burnley,2018
Virgil van Dijk,Y,Liverpool,Liverpool vs Burnley,2018
Georginio Wijnaldum,Y,Liverpool,Liverpool vs Burnley,2018
Roberto Firmino,Y,Liverpool,Liverpool vs Burnley,2018
Sadio Mané,Y,Liverpool,Liverpool vs Burnley,2018
Mohamed Salah,Y,Liverpool,Liverpool vs Burnley,2018
Adam Lallana,Y,Liverpool,Liverpool vs Burnley,2018
Andrew Robertson,Y,Liverpool,Liverpool vs Burnley,2018
Joël Matip,Y,Liverpool,Liverpool vs Burnley,2018
Trent Alexander-Arnold,Y,Liverpool,Liverpool vs Burnley,2018
Tom Heaton,Y,Burnley,Liverpool vs Burnley,2018
Charlie Taylor,Y,Burnley,Liverpool vs Burnley,2018
Jack Cork,Y,Burnley,Liverpool vs Burnley,2018
James Tarkowski,Y,Burnley,Liverpool vs Burnley,2018
Ben Mee,Y,Burnley,Liverpool vs Burnley,2018
Ashley Barnes,Y,Burnley,Liverpool vs Burnley,2018
Chris Wood,Y,Burnley,Liverpool vs Burnley,2018
Jeff Hendrick,Y,Burnley,Liverpool vs Burnley,2018
Ashley Westwood,Y,Burnley,Liverpool vs Burnley,2018
Phil Bardsley,Y,Burnley,Liverpool vs Burnley,2018
Dwight McNeil,Y,Burnley,Liverpool vs Burnley,2018
Kepa Arrizabalaga,Y,Chelsea,Chelsea vs Wolves,2018
Antonio Rüdiger,Y,Chelsea,Chelsea vs Wolves,2018
Jorginho,Y,Chelsea,Chelsea vs Wolves,2018
N'Golo Kanté,Y,Chelsea,Chelsea vs Wolves,2018
Gonzalo Higuaín,Y,Chelsea,Chelsea vs Wolves,2018
Eden Hazard,Y,Chelsea,Chelsea vs Wolves,2018
Pedro,Y,Chelsea,Chelsea vs Wolves,2018
Mateo Kovačić,Y,Chelsea,Chelsea vs Wolves,2018
César Azpilicueta,Y,Chelsea,Chelsea vs Wolves,2018
David Luiz,Y,Chelsea,Chelsea vs Wolves,2018
Emerson Palmieri,Y,Chelsea,Chelsea vs Wolves,2018
Rui Patrício,Y,Wolves,Chelsea vs Wolves,2018
Matt Doherty,Y,Wolves,Chelsea vs Wolves,2018
Rúben Neves,Y,Wolves,Chelsea vs Wolves,2018
Raúl Jiménez,Y,Wolves,Chelsea vs Wolves,2018
Willy Boly,Y,Wolves,Chelsea vs Wolves,2018
Conor Coady,Y,Wolves,Chelsea vs Wolves,2018
Diogo Jota,Y,Wolves,Chelsea vs Wolves,2018
Jonny Castro,Y,Wolves,Chelsea vs Wolves,2018
Romain Saïss,Y,Wolves,Chelsea vs Wolves,2018
João Moutinho,Y,Wolves,Chelsea vs Wolves,2018
Leander Dendoncker,Y,Wolves,Chelsea vs Wolves,2018
Bernd Leno,Y,Arsenal,Arsenal vs Manchester Utd,2018
Sokratis Papastathopoulos,Y,Arsenal,Arsenal vs Manchester Utd,2018
Laurent Koscielny,Y,Arsenal,Arsenal vs Manchester Utd,2018
Aaron Ramsey,Y,Arsenal,Arsenal vs Manchester Utd,2018
Alexandre Lacazette,Y,Arsenal,Arsenal vs Manchester Utd,2018
Mesut Özil,Y,Arsenal,Arsenal vs Manchester Utd,2018
Pierre-Emerick Aubameyang,Y,Arsenal,Arsenal vs Manchester Utd,2018
Ainsley Maitland-Niles,Y,Arsenal,Arsenal vs Manchester Utd,2018
Nacho Monreal,Y,Arsenal,Arsenal vs Manchester Utd,2018
Sead Kolašinac,Y,Arsenal,Arsenal vs Manchester Utd,2018
Granit Xhaka,Y,Arsenal,Arsenal vs Manchester Utd,2018
David de Gea,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Victor Lindelöf,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Paul Pogba,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Romelu Lukaku,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Marcus Rashford,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Chris Smalling,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Fred,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Ashley Young,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Diogo Dalot,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Luke Shaw,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Nemanja Matić,Y,Manchester Utd,Arsenal vs Manchester Utd,2018
Łukasz Fabiański,Y,West Ham,West Ham vs Huddersfield,2018
Aaron Cresswell,Y,West Ham,West Ham vs Huddersfield,2018
Pablo Zabaleta,Y,West Ham,West Ham vs Huddersfield,2018
Marko Arnautović,Y,West Ham,West Ham vs Huddersfield,2018
Felipe Anderson,Y,West Ham,West Ham vs Huddersfield,2018
Manuel Lanzini,Y,West Ham,West Ham vs Huddersfield,2018
Mark Noble,Y,West Ham,West Ham vs Huddersfield,2018
Angelo Ogbonna,Y,West Ham,West Ham vs Huddersfield,2018
Issa Diop,Y,West Ham,West Ham vs Huddersfield,2018
Michail Antonio,Y,West Ham,West Ham vs Huddersfield,2018
Declan Rice,Y,West Ham,West Ham vs Huddersfield,2018
Jonas Lössl,Y,Huddersfield,West Ham vs Huddersfield,2018
Tommy Smith,Y,Huddersfield,West Ham vs Huddersfield,2018
Terence Kongolo,Y,Huddersfield,West Ham vs Huddersfield,2018
Juninho Bacuna,Y,Huddersfield,West Ham vs Huddersfield,2018
Aaron Mooy,Y,Huddersfield,West Ham vs Huddersfield,2018
Chris Löwe,Y,Huddersfield,West Ham vs Huddersfield,2018
Karlan Grant,Y,Huddersfield,West Ham vs Huddersfield,2018
Alex Pritchard,Y,Huddersfield,West Ham vs Huddersfield,2018
Jon Gorenc Stanković,Y,Huddersfield,West Ham vs Huddersfield,2018
Erik Durm,Y,Huddersfield,West Ham vs Huddersfield,2018
Aaron Rowe,Y,Huddersfield,West Ham vs Huddersfield,2018
Tom Heaton,Y,Burnley,Burnley vs Leicester City,2018
Charlie Taylor,Y,Burnley,Burnley vs Leicester City,2018
Jack Cork,Y,Burnley,Burnley vs Leicester City,2018
James Tarkowski,Y,Burnley,Burnley vs Leicester City,2018
Ben Mee,Y,Burnley,Burnley vs Leicester City,2018
Jóhann Berg Guðmundsson,Y,Burnley,Burnley vs Leicester City,2018
Ashley Barnes,Y,Burnley,Burnley vs Leicester City,2018
Chris Wood,Y,Burnley,Burnley vs Leicester City,2018
Ashley Westwood,Y,Burnley,Burnley vs Leicester City,2018
Phil Bardsley,Y,Burnley,Burnley vs Leicester City,2018
Dwight McNeil,Y,Burnley,Burnley vs Leicester City,2018
Kasper Schmeichel,Y,Leicester City,Burnley vs Leicester City,2018
Ben Chilwell,Y,Leicester City,Burnley vs Leicester City,2018
Jonny Evans,Y,Leicester City,Burnley vs Leicester City,2018
Demarai Gray,Y,Leicester City,Burnley vs Leicester City,2018
Jamie Vardy,Y,Leicester City,Burnley vs Leicester City,2018
James Maddison,Y,Leicester City,Burnley vs Leicester City,2018
Ricardo Pereira,Y,Leicester City,Burnley vs Leicester City,2018
Harry Maguire,Y,Leicester City,Burnley vs Leicester City,2018
Harvey Barnes,Y,Leicester City,Burnley vs Leicester City,2018
Youri Tielemans,Y,Leicester City,Burnley vs Leicester City,2018
Wilfred Ndidi,Y,Leicester City,Burnley vs Leicester City,2018
Artur Boruc,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Nathan Aké,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Jefferson Lerma,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Jordon Ibe,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Charlie Daniels,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Callum Wilson,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Joshua King,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
David Brooks,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Nathaniel Clyne,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Ryan Fraser,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Chris Mepham,Y,Bournemouth,Bournemouth vs Newcastle Utd,2018
Martin Dúbravka,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Paul Dummett,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Salomón Rondón,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Mohamed Diamé,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Matt Ritchie,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Isaac Hayden,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Ayoze Pérez,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Federico Fernández,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Florian Lejeune,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
DeAndre Yedlin,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Miguel Almirón,Y,Newcastle Utd,Bournemouth vs Newcastle Utd,2018
Sergio Rico,Y,Fulham,Fulham vs Liverpool,2018
Calum Chambers,Y,Fulham,Fulham vs Liverpool,2018
Aleksandar Mitrović,Y,Fulham,Fulham vs Liverpool,2018
Tom Cairney,Y,Fulham,Fulham vs Liverpool,2018
Floyd Ayité,Y,Fulham,Fulham vs Liverpool,2018
Ryan Babel,Y,Fulham,Fulham vs Liverpool,2018
Tim Ream,Y,Fulham,Fulham vs Liverpool,2018
Timothy Fosu-Mensah,Y,Fulham,Fulham vs Liverpool,2018
Joe Bryan,Y,Fulham,Fulham vs Liverpool,2018
Jean Seri,Y,Fulham,Fulham vs Liverpool,2018
Andre-Frank Zambo Anguissa,Y,Fulham,Fulham vs Liverpool,2018
Alisson,Y,Liverpool,Fulham vs Liverpool,2018
Fabinho,Y,Liverpool,Fulham vs Liverpool,2018
Virgil van Dijk,Y,Liverpool,Fulham vs Liverpool,2018
Georginio Wijnaldum,Y,Liverpool,Fulham vs Liverpool,2018
Roberto Firmino,Y,Liverpool,Fulham vs Liverpool,2018
Sadio Mané,Y,Liverpool,Fulham vs Liverpool,2018
Mohamed Salah,Y,Liverpool,Fulham vs Liverpool,2018
Adam Lallana,Y,Liverpool,Fulham vs Liverpool,2018
Andrew Robertson,Y,Liverpool,Fulham vs Liverpool,2018
Joël Matip,Y,Liverpool,Fulham vs Liverpool,2018
Trent Alexander-Arnold,Y,Liverpool,Fulham vs Liverpool,2018
Jordan Pickford,Y,Everton,Everton vs Chelsea,2018
Michael Keane,Y,Everton,Everton vs Chelsea,2018
André Gomes,Y,Everton,Everton vs Chelsea,2018
Gylfi Sigurðsson,Y,Everton,Everton vs Chelsea,2018
Lucas Digne,Y,Everton,Everton vs Chelsea,2018
Yerry Mina,Y,Everton,Everton vs Chelsea,2018
Idrissa Gana Gueye,Y,Everton,Everton vs Chelsea,2018
Bernard,Y,Everton,Everton vs Chelsea,2018
Séamus Coleman,Y,Everton,Everton vs Chelsea,2018
Dominic Calvert-Lewin,Y,Everton,Everton vs Chelsea,2018
Richarlison,Y,Everton,Everton vs Chelsea,2018
Kepa Arrizabalaga,Y,Chelsea,Everton vs Chelsea,2018
Antonio Rüdiger,Y,Chelsea,Everton vs Chelsea,2018
Marcos Alonso,Y,Chelsea,Everton vs Chelsea,2018
Jorginho,Y,Chelsea,Everton vs Chelsea,2018
N'Golo Kanté,Y,Chelsea,Everton vs Chelsea,2018
Ross Barkley,Y,Chelsea,Everton vs Chelsea,2018
Gonzalo Higuaín,Y,Chelsea,Everton vs Chelsea,2018
Eden Hazard,Y,Chelsea,Everton vs Chelsea,2018
Pedro,Y,Chelsea,Everton vs Chelsea,2018
César Azpilicueta,Y,Chelsea,Everton vs Chelsea,2018
